OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900544,Sample-Routine,Water,Groundwater,1988-11-22,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354935106085501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949190,,,Oxygen-18/Oxygen-16 ratio,Total,-15.00,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801079,Sample-Routine,Water,Surface Water,1988-04-28,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354333105531710,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665874,,,Oxygen-18/Oxygen-16 ratio,Total,-12.30,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900509,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355148106000601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120558236,,,Oxygen-18/Oxygen-16 ratio,Total,-11.20,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900523,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353623105555501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-106019285,,,Oxygen-18/Oxygen-16 ratio,Total,-11.15,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900519,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353736105555201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949064,,,Oxygen-18/Oxygen-16 ratio,Total,-10.25,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900511,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354433105571701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949061,,,Oxygen-18/Oxygen-16 ratio,Total,-11.70,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900514,Sample-Routine,Water,Groundwater,1988-11-21,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355006106094802,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-80453176,,,Oxygen-18/Oxygen-16 ratio,Total,-11.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801045,Sample-Routine,Water,Bulk deposition,1988-07-08,,,1988-07-29,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665814,,,Oxygen-18/Oxygen-16 ratio,Total,-7.80,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900503,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355104105592901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949040,,,Oxygen-18/Oxygen-16 ratio,Total,-12.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900501,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355315106041801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949037,,,Oxygen-18/Oxygen-16 ratio,Total,-11.00,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900513,Sample-Routine,Water,Groundwater,1988-11-21,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355006106094803,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-31250054,,,Oxygen-18/Oxygen-16 ratio,Total,-11.75,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900528,Sample-Routine,Water,Groundwater,1988-10-24,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353620106010201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949088,,,Oxygen-18/Oxygen-16 ratio,Total,-10.85,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801080,Sample-Routine,Water,Surface Water,1988-04-28,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353719105550410,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665877,,,Oxygen-18/Oxygen-16 ratio,Total,-10.35,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900500,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355312106041401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949034,,,Oxygen-18/Oxygen-16 ratio,Total,-10.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900502,Sample-Routine,Water,Groundwater,1988-10-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355320106032101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120558233,,,Oxygen-18/Oxygen-16 ratio,Total,-10.80,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900518,Sample-Routine,Water,Groundwater,1988-10-17,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353655105541801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666312,,,Oxygen-18/Oxygen-16 ratio,Total,-9.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900142,Sample-Routine,Water,Bulk deposition,1988-11-10,,,1988-11-30,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665989,,,Oxygen-18/Oxygen-16 ratio,Total,-14.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900386,Sample-Routine,Water,Bulk deposition,1988-11-30,,,1988-12-28,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666128,,,Oxygen-18/Oxygen-16 ratio,Total,-11.20,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900510,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354346105570801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949058,,,Oxygen-18/Oxygen-16 ratio,Total,-11.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900530,Sample-Routine,Water,Groundwater,1988-10-24,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353618105584201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949094,,,Oxygen-18/Oxygen-16 ratio,Total,-11.60,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900539,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354439105544701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949121,,,Oxygen-18/Oxygen-16 ratio,Total,-12.80,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900508,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355039105591701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949055,,,Oxygen-18/Oxygen-16 ratio,Total,-11.50,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900512,Sample-Routine,Water,Groundwater,1988-11-21,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355000106092801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-31250051,,,Oxygen-18/Oxygen-16 ratio,Total,-15.00,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900141,Sample-Routine,Water,Bulk deposition,1988-10-12,,,1988-11-10,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665977,,,Oxygen-18/Oxygen-16 ratio,Total,-7.30,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900532,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354542105554301,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949100,,,Oxygen-18/Oxygen-16 ratio,Total,-11.55,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900504,Sample-Routine,Water,Groundwater,1988-10-28,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354208105585101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949043,,,Oxygen-18/Oxygen-16 ratio,Total,-12.65,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900516,Sample-Routine,Water,Groundwater,1988-11-22,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354944106091801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666306,,,Oxygen-18/Oxygen-16 ratio,Total,-14.25,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900531,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353809105555501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949097,,,Oxygen-18/Oxygen-16 ratio,Total,-11.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801067,Sample-Routine,Water,Bulk deposition,1988-03-04,,,1988-03-22,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665838,,,Oxygen-18/Oxygen-16 ratio,Total,-10.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900517,Sample-Routine,Water,Groundwater,1988-10-17,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353508106025701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666309,,,Oxygen-18/Oxygen-16 ratio,Total,-11.00,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900535,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354320105544501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949109,,,Oxygen-18/Oxygen-16 ratio,Total,-10.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801069,Sample-Routine,Water,Bulk deposition,1988-04-07,,,1988-04-20,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665844,,,Oxygen-18/Oxygen-16 ratio,Total,-9.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801073,Sample-Routine,Water,Bulk deposition,1988-06-08,,,1988-06-24,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665856,,,Oxygen-18/Oxygen-16 ratio,Total,-6.30,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900249,Sample-Routine,Water,Bulk deposition,1989-03-07,,,1989-03-29,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666114,,,Oxygen-18/Oxygen-16 ratio,Total,-19.05,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900566,Sample-Routine,Water,Groundwater,1989-05-05,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353934106002101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666342,,,Oxygen-18/Oxygen-16 ratio,Total,-10.05,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900385,Sample-Routine,Water,Bulk deposition,1989-02-10,,,1989-03-07,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666125,,,Oxygen-18/Oxygen-16 ratio,Total,-12.90,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900247,Sample-Routine,Water,Bulk deposition,1989-01-23,,,1989-02-10,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666092,,,Oxygen-18/Oxygen-16 ratio,Total,-12.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99300364,Sample-Routine,Water,Groundwater,1993-04-06,13:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355257106023701,,,Santa Fe Group,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120560079,Not Detected,,CFC-12,Recoverable,,,,Historical,,Actual,,,,,,,,,,,34668,,,,,,,,,GCM68,USGS,"VOC, wu, censor at <RL, GCMS",,USGS OF 97-829,,,,,Historical Lower Reporting Limit,0.2,ug/l,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99300365,Sample-Routine,Water,Groundwater,1993-04-06,14:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355309106025801,,,Santa Fe Group,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120560003,Not Detected,,CFC-12,Recoverable,,,,Historical,,Actual,,,,,,,,,,,34668,,,,,,,,,GCM68,USGS,"VOC, wu, censor at <RL, GCMS",,USGS OF 97-829,,,,,Historical Lower Reporting Limit,0.2,ug/l,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99800333,Sample-Routine,Water,Groundwater,1998-09-09,13:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355231106102901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120558575,Not Detected,,CFC-12,Recoverable,,,,Historical,,Actual,,,,,,,,,,,34668,,,,,,,,,GCM66,USGS,"VOC, wu, acidified, GCMS",,USGS OF 97-829,,,,,Historical Lower Reporting Limit,0.14,ug/l,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99800331,Sample-Routine,Water,Groundwater,1998-09-08,16:10:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355229106083001,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120558750,Not Detected,,CFC-12,Recoverable,,,,Historical,,Actual,,,,,,,,,,,34668,,,,,,,,,GCM66,USGS,"VOC, wu, acidified, GCMS",,USGS OF 97-829,,,,,Historical Lower Reporting Limit,0.14,ug/l,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99800332,Sample-Routine,Water,Groundwater,1998-09-08,14:15:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355234106083201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120096276,Not Detected,,CFC-12,Recoverable,,,,Historical,,Actual,,,,,,,,,,,34668,,,,,,,,,GCM66,USGS,"VOC, wu, acidified, GCMS",,USGS OF 97-829,,,,,Historical Lower Reporting Limit,0.14,ug/l,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00104017,Sample-Routine,Water,Bulk deposition,2000-10-05,12:00:00,MDT,2001-04-25,13:20:59,MDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353603105560201,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-25553729,,,Oxygen-18/Oxygen-16 ratio,Total,-7.92,per mil,,Accepted,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00002493,Sample-Routine,Water,Bulk deposition,2000-04-02,12:00:00,MDT,2000-10-05,12:00:59,MDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353603105560201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-25395663,,,Oxygen-18/Oxygen-16 ratio,Total,-10.11,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00201452,Sample-Routine,Water,Bulk deposition,2001-10-12,14:49:00,MDT,2002-05-03,10:45:59,MDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353603105560201,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-25636985,,,Oxygen-18/Oxygen-16 ratio,Total,-12.28,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00203056,Sample-Routine,Water,Bulk deposition,2002-05-03,10:45:00,MDT,2002-10-17,12:00:59,MDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353603105560201,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-25686381,,,Oxygen-18/Oxygen-16 ratio,Total,-7.68,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00400114,Sample-Routine,Water,Groundwater,2003-12-02,09:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350523106124001,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-30360921,,,Oxygen-18/Oxygen-16 ratio,Total,-9.83,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
